English,Kriol
special,speshal
speed,ripim
spell,spelim
spider,spaida
spill,spilim
spin,graungraun
spirit,spirrit
spit,spit
split,split
table,teibul
tail,teil
take,teikim
take away,bulumat
take back,deigimbek
talk,tok
tall,tol
tame,kwait
tank,tengk
tape,gijim
taste,teistim
tasty,fleiba
tea,ti
teach,titjim
teacher,titja
tear,krek
tease,tisim
teeth,tuth
telephone,telafon
television,telabisin
tell,delim
temple,timpul
tempt,timtim
ten,ten
tend,teilim
tent,tent
termite,waident
terrific,bastimap
test,testim
thank you,teingkyu
that,dat
the,da
their,imolabat
them,dem
then,den
there,deya
these,dismob
they,dei
thick,thikwan
thin,thin
thing,ting
think,jat
thirsty,thesti
this,dis
thorny,jigininbala
those,detmob
thousand,thausen
thread,thred
three,thri
throat,throt
through,thru
throw,throim
thunder,rorring
Thursday,Thesdei
ticket,tikit
tickle,digulim
tie,taid
tight,tait
time,taim
tin can,tin
tiny,lilil
tired,tayid
to,la
toadstool,mashrum
today,tudei
toddler,biginini
together,sama
toilet,toilet
tomahawk,tamiyek
tomato,tumato
tomb,tum
tomorrow,tumara
tongue,tang
tonight,tinait
tool,tul
tooth,tuth
top,dap
torch,toitj
toss,flikim
tough,raf
town,taun
toy,pleiwan
track,roud
train,trein
trap,trep
travel,trebul
tree,tri
tribe,traib
trick,trik
trip,trip
trouble,trabul
truck,trak
TRUE,tru
trust,trastim
truthfully,trubalawei
try,traim
Tuesday,Tyusdei
tune,tyun
turn,tern
turtle,tetul
twelve,twelbala
twenty cents,tubob
twist,twistim
two,tu
type,kain
tyre,taiya
umbilical cord,julurruma
unable to,kudun
uncircumcised,klinskin
uncle,dedi
"uncomfortable, be",gri
"uncooperative, be",dilaj
under,andanith
undercarriage,binji
underneath,andanith
undernourished,bonbala
understand,jabi
unemployed,rabish
"unhappy, be",nogudbinji
unimportant,najing
unite,joinimap
united,wanbinji
unload,anloudim
unripe,rowan
unsuccessfully,najing
unsure,maitbi
untamed,wail
untangle,sodimat
until,rajap
untruth,laiya
unwell,nugud
up,ap
"up, get",gitap
"up, go",goap
upset,wail
"upset, be",apset
upstairs,apstes
uranium,yurenyam
urinate,gumbu
urine,gumbu
us,mala
use,yusim
use up,binijimap
used,jeganen
used to,yustu
used to catch fish (grasshoppers/frogs),beit
useless,rabish
"useless, made",bastindap
uselessly,rabishwei
vagina,bungga
"vain, in",najing
vampire,bempaiya
various,difrin
"vehicle, four-wheel drive",jugi
vehicular track,modiga rod
vein,blad
veins,sdring
Venus,moningsta
verandah,branda
very,prapa
very good!,barrei
vessel,bagidi
village,vilij
vine,griba
virgin,klin
visit,bijitim
voice,bois
volleyball,bolibol
vomit,bako
vow,maitj
wages,pei
wagon,wegan
wait,weid
wait for,weitimbat
waiting,weiding
wake,weikimap
walk,butwok
walk away,wokawei
walk down,wokdan
wall,wol
wallaby,wolabi
wallet,wolet
wander around,wandringran
wanger,mulungwa
want,wanda
war,wo:
warm,omom
warn,wonim
warrior,galga
was,was
wash,bogi
wash away,wasawei
waste,weistim
watch,luginat
water,wadrim
watermelon,wardimelen
way,#NAME?
we as,mala
we,wi
weak,wik
weapon,wepan
wear,weram
"weather, cold",golweja
Wednesday,Wensdei
weed,wi:d
week,wik
weekend,wiken
weep,wip
WeetBix,witbiks
weigh,skeilim
weight,bif
well,prapli
werewolf,bewulf
west,jangudan
wet,wajim
whale,weil
what,owat
what about,wadabat
what's this?,ngangi
what's wrong,wotrong
when,wa
where,wea
which,we
while,lilwail
whip,beldim
whisper,whisul
window,windo
winner,wina
wise,jabibala
witch doctor,doktabala
woman,gel
work,wek
world,we:l
worm,wem
worry,wori
worse,weswan
xenophobia,xenofobia
xerox,xerok
x-ray,eksray
xylophone,zailofon
yak,yekyek
yam,yarlma
yam stick,yemstik
"yam, wild",wail yem
yard,yad
"yard, put in",yadim
yarn,yan
year,Krismas
yeast,draibam
yellow,wait
yellow part,yelapat
yes,labda
yesterday,yestadei
yet,yet
yield,givin
Yolngumatha,Yulngumatha
you,yolabat
you (plural),yubala
you know,yuno
you know what?,yunowot
you two,yundubala
you want,yumandi
you will,yumandi
young,yang
young boy,yangboi
young girl,yanggel
young man,yanggai
young people,yangbala
young son,yangsan
youngest,yanggiswan
your way,yumobwei
yours,yuswan
yourself,miselp
yourselves,miselp
zebra,sebra
zigzag,dojingbat
zoo,enimulen
zoo keeper (female),enimul leidi
